,errors
0,28.301990634457493
1,27.25978927461821
2,26.806081958339767
3,26.481685549919696
4,26.403369908566134
5,26.090924229107184
6,25.01820295819679
7,24.70352872429413
8,24.68869257214701
9,23.862963704015357
10,23.862727050812264
11,23.81759146695729
12,23.593976623398465
13,23.5929353727
14,23.11459205576103
15,23.108006729402433
16,22.990052700250246
17,22.808445262522607
18,22.758204024495395
19,22.71651962945221
20,22.58172938814747
21,22.564623147334085
22,22.51251646135559
23,22.428775442545806
24,22.32453140150146
25,22.199505598908136
26,22.137996675173838
27,22.136945036079172
28,21.83191555588537
29,21.723883669387746
30,21.710119239789996
31,21.657892107416046
32,21.597975934220855
33,21.519852851980552
34,21.405171182466148
35,21.249474392497266
36,21.182032941381408
37,21.12982385894361
38,21.128476010890463
39,21.117262523620393
40,21.018065372244248
41,20.928154163947937
42,20.903041927543
43,20.78536390913715
44,20.707986294447345
45,20.55656176595486
46,20.47587407586882
47,20.44592255657354
48,20.41029624031141
49,20.138231706124024
50,20.126260997968494
51,20.081491137729476
52,19.84435386716659
53,19.797101803435137
54,19.76166451518392
55,19.743032677577425
56,19.657518542437646
57,19.646493240810866
58,19.61689275029839
59,19.58785572860325
60,19.5285417160317
61,19.520309374691443
62,19.24280769652155
63,19.005549128979187
64,18.96442089050506
65,18.942697790590984
66,18.940816129567903
67,18.60630905486866
68,18.59406039829694
69,18.562670559951126
70,18.502395531288574
71,18.418913521923745
72,18.417899871107547
73,18.339858574619864
74,18.333276284087837
75,18.142525557187824
76,18.102701193511074
77,18.102471906312392
78,18.071366581203982
79,18.065592648433025
80,17.875026401888594
81,17.843486325498187
82,17.771356633834266
83,17.521970499806685
84,17.44571716465991
85,17.440155707360766
86,17.14941459408381
87,17.14568851168554
88,17.142457779929767
89,17.138156820866655
90,17.089023693134752
91,17.060433001858424
92,17.034584048638315
93,16.92176277426614
94,16.741588806159612
95,16.700535980366112
96,16.67291147429769
97,16.641424638742063
98,16.619806836703102
99,16.61554693268086
100,16.42327370530961
101,16.300798900707818
102,15.776101985396666
103,15.765058240969703
104,15.73998135114985
105,15.721553450962382
106,15.677844180738633
107,15.390026737539586
108,15.384343478116513
109,15.260394818594929
110,15.254968183841076
111,15.177929905474585
112,15.095006926963555
113,15.084157515497104
114,14.94929112760125
115,14.7635785558396
116,14.685083254260048
117,14.627433977170934
118,14.626838403028406
119,14.524050141129539
120,14.512924621563856
121,14.423355761003366
122,14.382435024016837
123,14.345658234326763
124,14.324021772777554
125,14.311221487394954
126,14.295406917784524
127,14.294904507109273
128,14.294728461592841
129,14.257876292342893
130,14.217589904599324
131,14.213618982648384
132,14.213301255276232
133,14.205712500640024
134,13.957590526690865
135,13.957365247109376
136,13.928347079402258
137,13.876018530453278
138,13.861362596379275
139,13.841283549126251
140,13.841062458583359
141,13.815003819022314
142,13.517124784930663
143,13.360612784453743
144,13.309266161831262
145,13.304941537071517
146,13.263957927627954
147,13.230142957136914
